file,function,changes_in_30_days,initial_commit_date
packages/smart-router/evm/v3-router/utils/swapRouter.test.ts,v3Trade.routes.map,8,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/utils/swapRouter.test.ts,convertV3PoolToSDKPool,19,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/utils/transformer.ts,serializeCurrency,9,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/utils/transformer.ts,serializeRoute,3,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/utils/transformer.ts,serializeCurrencyAmount,3,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/utils/transformer.ts,parseCurrency,3,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/utils/transformer.ts,parseCurrencyAmount,3,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/utils/transformer.ts,pool.balances.map,3,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/utils/transformer.ts,route.pools.map,3,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/utils/transformer.ts,trade.routes.map,3,2023-04-10 03:44:18+00:00
packages/wagmi/src/useWeb3React.ts,useWeb3React,1,2023-04-10 03:44:18+00:00
packages/worker-utils/index.ts,isString,1,2023-04-10 03:44:18+00:00
packages/worker-utils/index.ts,isOriginAllowed,1,2023-04-10 03:44:18+00:00
packages/worker-utils/index.ts,wrapCorsHeader,1,2023-04-10 03:44:18+00:00
packages/worker-utils/index.ts,handleCors,1,2023-04-10 03:44:18+00:00
apps/web/src/hooks/useV3Pools.ts,refresh,4,2023-04-10 03:44:53+00:00
apps/web/src/hooks/useV3Pools.ts,useV3CandidatePools,4,2023-04-10 03:44:53+00:00
apps/web/src/hooks/useV3Pools.ts,(anonymous),24,2023-04-10 03:44:53+00:00
apps/web/src/hooks/useV3Pools.ts,useV3CandidatePoolsWithoutTicks,3,2023-04-10 03:44:53+00:00
apps/web/src/hooks/useV3Pools.ts,Number,4,2023-04-10 03:44:53+00:00
apps/web/src/hooks/useV3Pools.ts,pools.map,8,2023-04-10 03:44:53+00:00
apps/web/src/hooks/useV3Pools.ts,provider,8,2023-04-10 03:44:53+00:00
apps/web/src/hooks/useV3Pools.ts,useEffect,8,2023-04-10 03:44:53+00:00
apps/web/src/hooks/useV3Pools.ts,getV3PoolAddress,4,2023-04-10 03:44:53+00:00
packages/smart-router/evm/v3-router/providers/subgraphProvider.ts,(anonymous),69,2023-04-10 03:44:53+00:00
packages/smart-router/evm/v3-router/providers/subgraphProvider.ts,getV3PoolSubgraph,3,2023-04-10 03:44:53+00:00
packages/smart-router/evm/v3-router/providers/subgraphProvider.ts,getV3PoolMetas,3,2023-04-10 03:44:53+00:00
packages/smart-router/evm/v3-router/providers/subgraphProvider.ts,sortByTvl,3,2023-04-10 03:44:53+00:00
packages/smart-router/evm/v3-router/providers/subgraphProvider.ts,addToPoolSet,3,2023-04-10 03:44:53+00:00
