programming_language,repo_name,commit_id,tool
TypeScript,pancakeswap/pancake-frontend,4ead64f7b1775bd0371f74d18ac06560ddf0e59d,copilot-pr
TypeScript,pancakeswap/pancake-frontend,5300d6144b6c1a179929bd1a73d72203cb329b86,copilot-pr
TypeScript,pancakeswap/pancake-frontend,110acb75e95ede2d7315d0c98a34f0c04cef03f9,copilot-pr
TypeScript,pancakeswap/pancake-frontend,75d0a1a50a929f4830bc26a1fdadf55c977867c3,copilot-pr
TypeScript,pancakeswap/pancake-frontend,9f0220610ba748743678f1f8fae577d329841277,copilot-pr
TypeScript,pancakeswap/pancake-frontend,47f8866007955587c510e366debbda8a818772d6,copilot-pr
TypeScript,pancakeswap/pancake-frontend,5891d46a3094a5c2246580237ad17a55623a2e70,copilot-pr
TypeScript,pancakeswap/pancake-frontend,7fe00ab87fb4cf3c540bbc8aa768a3f58da1bcef,copilot-pr
TypeScript,pancakeswap/pancake-frontend,54adf5e7ce97e7be1735d2f7b2b377196a88d116,copilot-pr
TypeScript,pancakeswap/pancake-frontend,298f2b157f4cc100299ad73feed0e8a3e968d293,copilot
